BAD,LOAN,MORTDUE,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,VALUE_missing,DEROG_missing,DELINQ_missing,NINQ_missing,DEBTINC_missing,REASON_DebtCon,REASON_HomeImp,REASON_Not Provided,JOB_Mgr,JOB_Not Provided,JOB_Office,JOB_Other,JOB_ProfExe,JOB_Sales,JOB_Self
1,0.0,0.05986862463426477,0.03659001142811316,0.25609756097560976,0.0,0.0,0.1452359941750665,0.1,0.16363636363636364,0.541774360572354,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.002252252252252252,0.17104961923283024,0.07123405931532747,0.17073170731707318,0.0,0.3333333333333333,0.1875088515342527,0.0,0.2545454545454545,0.541774360572354,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.004504504504504505,0.028773268056565375,0.010260535033830284,0.0975609756097561,0.0,0.0,0.2300382189661679,0.1,0.18181818181818182,0.541774360572354,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,0.006756756756756755,0.24085567578310735,0.12265467166877578,0.07317073170731708,0.0,0.0,0.14364563182172285,0.0,0.2545454545454545,0.541774360572354,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.006756756756756755,0.07166272104496499,0.03811729796475801,0.21951219512195122,0.0,0.0,0.15616229949469437,0.1,0.14545454545454545,0.5839122629449928,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.007882882882882884,0.11720131727578512,0.057832857063670744,0.12195121951219512,0.5,0.3333333333333333,0.11866155228743984,0.1,0.3090909090909091,0.541774360572354,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.007882882882882884,0.06651538289302543,0.04131811314657587,0.2682926829268293,0.0,0.0,0.13661627621057595,0.0,0.14545454545454545,0.5794043371142779,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.010135135135135134,0.07707673458503045,0.04568886519661898,0.07317073170731708,0.0,0.3333333333333333,0.33387348995883803,0.1,0.21818181818181817,0.541774360572354,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,0.010135135135135134,0.15833725379697952,0.06398092248106813,0.3902439024390244,0.0,0.0,0.17822318748230265,0.0,0.23636363636363636,0.541774360572354,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1,0.010135135135135134,0.04670341419970968,0.02571030617672415,0.2682926829268293,0.0,0.16666666666666666,0.18858619377291946,0.1,0.16363636363636364,0.541774360572354,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
